District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
MOUNT LEBANON,DAHYEH,SFEIR,SAAD MARKET,GROCERY,6,35.5186,33.8525,2
MOUNT LEBANON,DAHYEH,SFEIR,AL ABASS,GROCERY,5,35.5179,33.851,2
MOUNT LEBANON,DAHYEH,TAHWITA AL GHADEER,JABER MKT,GROCERY,5,35.5094,33.831,2
MOUNT LEBANON,DAHYEH,BARAKAT,SAAD MARKET,GROCERY,5,35.5054,33.8236,2
MOUNT LEBANON,DAHYEH,LAYLAKI,FAMILY MARKET,GROCERY,5,35.5172,33.8342,2
MOUNT LEBANON,METN,DEKWANEH,NEW SLAF MARKET,GROCERY,5,35.5448,33.8778,2
MOUNT LEBANON,METN,DEKWANEH,MAROUN MARKET,GROCERY,5,35.5454,33.8723,2
MOUNT LEBANON,METN,DEKWANEH,CORNER MARKET,GROCERY,5,35.551,33.8756,2
MOUNT LEBANON,METN,DEKWANEH,ALL IN MARKET,GROCERY,6,35.5629,33.8695,2
MOUNT LEBANON,BAABDA,HAZMIEH,Piga Mm,GROCERY,5,35.5356,33.8568,2
MOUNT LEBANON,BAABDA,HAZMIEH,Roger Market,GROCERY,5,35.536,33.8592,2
MOUNT LEBANON,BAABDA,HAZMIEH,BONJOUR - Gardenia (Hazmieh),Petrol Station,4,35.5402,33.8541,2
MOUNT LEBANON,METN,MANSOURIEH,STOP SHOP,Petrol Station,6,35.5617,33.8606,2
MOUNT LEBANON,METN,SIN EL FIL,YAGHI MARKET,GROCERY,5,35.5387,33.8679,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,MINI COOPER STE THERESE,GROCERY,5,35.5202,33.8707,2
MOUNT LEBANON,DAHYEH,HARET HREIK,DANDASHI,GROCERY,5,35.5132,33.8579,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,AL HADI OSMAN,GROCERY,6,35.5096,33.8428,2
MOUNT LEBANON,METN,NABAA,DIA MARKET,GROCERY,5,35.535,33.8881,2
SOUTH,JEZZINE,JEZZINE ROAD,ASMAR MM,GROCERY,5,35.5851,33.5403,2
SOUTH,SAIDA,JBAA ROAD,Hershe Sm,GROCERY,5,35.5186,33.4856,2
MOUNT LEBANON,ALEY,ALEY,M.M KHOURY,GROCERY,4,35.5945,33.8056,2
MOUNT LEBANON,ALEY,ALEY,FAMILY M.M,GROCERY,4,35.607,33.8033,2
MOUNT LEBANON,ALEY,AARAMOUN,Al Ataa,GROCERY,5,35.4908,33.7837,2
MOUNT LEBANON,ALEY,BCHEMOUN,TIMO MARKET,GROCERY,4,35.5392,33.7836,2
MOUNT LEBANON,SHOUF,DAMOUR,TOTAL JISER EL DAMOUR,Petrol Station,6,35.4409,33.7018,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,ELIE JABBOUR ESPESSO,Newelneh,5,35.5294,33.866,2
MOUNT LEBANON,SHOUF,BAAQLINE,MEZA,GROCERY,5,35.5737,33.6792,2
MOUNT LEBANON,SHOUF,DIBBIYE,BOSTANY MM,GROCERY,4,35.4805,33.6761,2
MOUNT LEBANON,SHOUF,WADI EL ZAYNEH,SHAHBARY SM,GROCERY,4,35.4084,33.6212,2
MOUNT LEBANON,SHOUF,JIYEH,Abo Shawke Market,GROCERY,4,35.4238,33.6724,2
MOUNT LEBANON,BAABDA,BIR HASSAN,SAINT MICHEAL,GROCERY,4,35.4895,33.8592,2
MOUNT LEBANON,BAABDA,BIR HASSAN,BAYT EL BALAD,GROCERY,4,35.4892,33.865,2
BECAA,ZAHLE,Zahleh Rural,GHAZALEH SUPER STORE,Super Market,2,35.8444,33.818,2
MOUNT LEBANON,ALEY,ALEY,REDWAN M.M,GROCERY,5,35.598,33.8083,2
MOUNT LEBANON,DAHYEH,BARAKAT,MAKKI MKT,GROCERY,5,35.5057,33.8259,2
MOUNT LEBANON,ALEY,CHOUEIFAT,ABO HASAN EXPRESS,Newelneh,4,35.5103,33.8058,2
MOUNT LEBANON,ALEY,CHOUEIFAT,FIVE STARS (GREAT CAFFEE),Newelneh,4,35.4957,33.8047,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,ALASKA,Newelneh,5,35.5273,33.8657,2
MOUNT LEBANON,METN,MANSOURIEH,HALAL MARKET,GROCERY,5,35.5691,33.8573,2
MOUNT LEBANON,METN,SIN EL FIL,EASY SHOPPING,GROCERY,6,35.5398,33.8752,2
MOUNT LEBANON,DAHYEH,ST. THARESE,RAMA MARKET,GROCERY,5,35.5242,33.8453,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,BERRY STATION_B-MART,Petrol Station,5,35.5204,33.8695,2
MOUNT LEBANON,METN,SIN EL FIL,ABI NADER MM,GROCERY,6,35.5406,33.8641,2
MOUNT LEBANON,METN,SIN EL FIL,AOUAD MARKET,GROCERY,6,35.5352,33.8835,2
BECAA,ZAHLE,Zahle City,SM AMINE NAJJAR,GROCERY,4,35.9081,33.8348,2
BECAA,WEST BECAA,KAMED EL LAOUZ,RAFIK AL MALT,GROCERY,4,35.8202,33.6214,2
MOUNT LEBANON,SHOUF,DMIT,S.M ABO DARGHAM,GROCERY,4,35.5147,33.6893,2
MOUNT LEBANON,ALEY,KHALDE,COFFE 24,Newelneh,4,35.4677,33.7702,2
MOUNT LEBANON,BAABDA,WADI CHAHROUR,ALWADI MARKET,GROCERY,5,35.5526,33.817,2
MOUNT LEBANON,SHOUF,DAMOUR,COFFE 24,Newelneh,4,35.454,33.7338,2
MOUNT LEBANON,ALEY,KABER SHMOUN,Est Wedyan,GROCERY,5,35.5469,33.7475,2
MOUNT LEBANON,BAABDA,KFARCHIMA,ASSAAD EL SAYAH,GROCERY,4,35.5305,33.819,2
MOUNT LEBANON,SHOUF,NEAHME,SM EL SAWTARY,GROCERY,4,35.4555,33.7426,2
MOUNT LEBANON,ALEY,SHAROUN,EL RAED SM,GROCERY,5,35.694,33.7817,2
MOUNT LEBANON,BAABDA,FURN EL CHEBBAK,QUICK PICK,Newelneh,5,35.5274,33.8653,2
MOUNT LEBANON,BAABDA,HAZMIEH,Le Grand,GROCERY,6,35.5466,33.8538,2
BECAA,BAALBACK,BAALBACK,ABOU ANWAR SM,GROCERY,4,36.1132,33.9514,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,FARAH MARKET,GROCERY,6,35.5205,33.8653,2
MOUNT LEBANON,SHOUF,DEIR EL QAMAR,KHATTAR,GROCERY,4,35.5587,33.6967,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,AOUN MKT,GROCERY,5,35.5034,33.8423,2
MOUNT LEBANON,ALEY,CHOUEIFAT,EXPRESSO,Newelneh,4,35.499,33.8053,2
MOUNT LEBANON,ALEY,CHOUEIFAT,BE IT LMOUNI,GROCERY,5,35.5168,33.8092,2
MOUNT LEBANON,BAABDA,AIN EL ROUMENEH,SAWAYA SUPERMARKET,GROCERY,5,35.524,33.8677,2
BECAA,BAALBACK,TARAYA,HANNA IBRAHIM EL KHOURY,GROCERY,5,36.1289,34.125,2
MOUNT LEBANON,DAHYEH,Ozai,SHAMAS MKT,GROCERY,5,35.4849,33.846,2
BECAA,ZAHLE,Zahleh Rural,SM BOU ZAIDAN,GROCERY,5,35.9639,33.8712,2
MOUNT LEBANON,DAHYEH,AL AJNIHA,ZAIN AJNIHA,GROCERY,5,35.5114,33.8169,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,AL BATOUL MKT,GROCERY,6,35.5003,33.8429,2
MOUNT LEBANON,SHOUF,AANOUT,ZAYDAN S.M,GROCERY,4,35.5168,33.6277,2
MOUNT LEBANON,SHOUF,SIBLINE,MALAK MALL,GROCERY,5,35.439,33.6192,2
MOUNT LEBANON,SHOUF,AANOUT,KANAA MM,GROCERY,5,35.5071,33.632,2
MOUNT LEBANON,DAHYEH,CHIYAH,HENAWE MM,GROCERY,3,35.5131,33.862,2
BECAA,ZAHLE,Zahle City,SM TONY JARROUJ,GROCERY,5,35.9019,33.8465,2
BECAA,ZAHLE,Zahle City,ANTHONY MARKET,GROCERY,4,35.895,33.8545,2
MOUNT LEBANON,ALEY,ALEY,TRIPELE 8,GROCERY,4,35.5996,33.8041,2
MOUNT LEBANON,ALEY,ALEY,CHEERS AALEY,GROCERY,4,35.6041,33.8062,2
MOUNT LEBANON,SHOUF,DAMOUR,SM ABO RAFEAA DAMOUR,GROCERY,4,35.4517,33.7176,2
