District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
NORTH,GREATER TRIPOLI,TRIPOLI CITY,CAFETERIA MOHAMAD LABABIDI,GROCERY,5,35.8419,34.4373,2
NORTH,KOURA,DAHR EL AIN,EL MASRI MARKET,GROCERY,5,35.8398,34.4007,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,CAFE MACHHOUR,KIOSK,4,35.8094,34.3989,2
MOUNT LEBANON,METN,AWKAR,LAHOUD MARKET,GROCERY,5,35.6081,33.9345,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,COIN DU FRUIT,GROCERY,5,35.5634,33.8896,2
MOUNT LEBANON,METN,DBAYEH,ABOU KHALIL,GROCERY,6,35.5919,33.9439,2
MOUNT LEBANON,METN,FANAR,SADER MM,GROCERY,6,35.5738,33.8802,2
NORTH,BATROUN,BEJDARFEL,GHALOUB MARKET,GROCERY,5,35.718,34.2437,2
NORTH,GREATER TRIPOLI,KALAMOUN,SAMIR AKRA CAFE,GROCERY,5,35.7824,34.3863,2
NORTH,KOURA,BARSA,MM CHAMMA,GROCERY,5,35.8381,34.3966,2
NORTH,KOURA,DAHR EL AIN,MARKET FADDOUL,GROCERY,5,35.846,34.3912,2
NORTH,GREATER TRIPOLI,KALAMOUN,CAFETERIA EL KALMOUN,Petrol Station,5,35.7819,34.3831,2
NORTH,GREATER TRIPOLI,KALAMOUN,CONCORD KIOSK,KIOSK,4,35.8025,34.3943,2
NORTH,KOURA,RAS MASQA,MM EL AYOUBI (DAHER EL EIN),GROCERY,6,35.8344,34.4102,2
NORTH,KOURA,RAS MASQA,LE PETIT MARCHE,GROCERY,6,35.8323,34.4134,2
NORTH,ZGHARTA,MAJDELAYA,MM CHARBEL ESTFAN,GROCERY,5,35.8799,34.4127,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,MILED SHOP,GROCERY,5,35.5666,33.8943,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,ST RITA,GROCERY,5,35.5621,33.8899,2
MOUNT LEBANON,METN,DBAYEH,FRIENDS MARKET,GROCERY,6,35.5975,33.9386,2
MOUNT LEBANON,METN,DBAYEH,BF SUPERMARKET,GROCERY,6,35.5976,33.9472,2
MOUNT LEBANON,KESERWAN,JAAITA,JEITA MARKET,Newelneh,6,35.6507,33.9542,2
MOUNT LEBANON,KESERWAN,JAAITA,BUY&BYE,GROCERY,6,35.6418,33.9563,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,SAYDET KANNOUBIN,GROCERY,6,35.6081,33.9559,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,MUNCHEES,Newelneh,4,35.5606,33.8932,2
NORTH,BATROUN,BATROUN CITY,ISHAK SAHYOUN,GROCERY,5,35.6602,34.2548,2
NORTH,BATROUN,BATROUN CITY,SALEM YA3KOUB,GROCERY,5,35.6626,34.2522,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,DAGHER MARKET,GROCERY,5,35.5723,33.8921,2
NORTH,BATROUN,AABRINE,GEORGE KABALAN,GROCERY,5,35.7045,34.2534,2
NORTH,BATROUN,AABRINE,BARBAR MARKET,GROCERY,5,35.7041,34.2521,2
NORTH,BATROUN,BATROUN CITY,PISTESHERIE BATROUN,GROCERY,5,35.6598,34.253,2
NORTH,BATROUN,BATROUN CITY,MINIMARKET SNAWBARA,GROCERY,5,35.6667,34.244,2
MOUNT LEBANON,METN,SABTIEH,GREEN MM,GROCERY,6,35.5638,33.8776,2
MOUNT LEBANON,METN,SABTIEH,MOURAD MARKET,GROCERY,6,35.5617,33.8792,2
MOUNT LEBANON,KESERWAN,SARBA,FADDOUL SUPERMARKET,Super Market,3,35.6256,33.9783,2
MOUNT LEBANON,KESERWAN,SARBA,ROAD RUNNER,Newelneh,3,35.6188,33.9781,2
NORTH,ZGHARTA,KFAR HATA,JOSEPH MAROUN STATION,Petrol Station,5,35.8999,34.374,2
MOUNT LEBANON,KESERWAN,SARBA,HABIBE BTECHRAB CHI,Newelneh,4,35.6338,33.9805,2
MOUNT LEBANON,KESERWAN,SARBA,ROGER MAKHLOUF,Newelneh,5,35.6303,33.9782,2
MOUNT LEBANON,METN,DEKWANEH,TONY'S MARKET,GROCERY,5,35.5559,33.8774,2
MOUNT LEBANON,METN,SABTIEH,J&J,GROCERY,5,35.5627,33.8789,2
NORTH,ZGHARTA,KFAR HATA,BALHIS SUPER STORE,GROCERY,4,35.9002,34.381,2
NORTH,ZGHARTA,ZGHARTA RURAL,GRAND MARCHE YAMMIN,GROCERY,5,35.8987,34.3901,2
MOUNT LEBANON,KESERWAN,GADER,STE.SARKIS,GROCERY,6,35.6386,33.9804,2
MOUNT LEBANON,KESERWAN,HARET SAKHER,JEAN OUAYNI,GROCERY,5,35.6426,33.9852,2
NORTH,KOURA,DAHR EL AIN,NICOLAS MARKET,GROCERY,4,35.847,34.3772,2
NORTH,KOURA,QALHAT,KARAM MARKET,GROCERY,5,35.7806,34.3658,2
NORTH,KOURA,QALHAT,SM BARO,GROCERY,5,35.7816,34.3592,2
MOUNT LEBANON,METN,SABTIEH,WIDE MM,GROCERY,5,35.5565,33.8819,2
NORTH,BATROUN,JRANE,MANSOUR SUPERMARKET,GROCERY,5,35.7057,34.2266,2
MOUNT LEBANON,KESERWAN,GADER,EL KHAZEN MARKET,GROCERY,5,35.6314,33.978,2
NORTH,KOURA,KOURA RURAL,MM MATTA,GROCERY,5,35.7989,34.3783,2
NORTH,KOURA,QALHAT,MM OM ZIAD,GROCERY,5,35.7825,34.3601,2
NORTH,KOURA,QALHAT,SM ABOU GEORGE,GROCERY,5,35.7829,34.3539,2
NORTH,KOURA,BARSA,SAINT GEORGE MARKET,GROCERY,5,35.8314,34.3887,2
NORTH,KOURA,KOURA RURAL,SM ABOU TONY,GROCERY,5,35.7989,34.3765,2
NORTH,KOURA,KOURA RURAL,MM JEBRAIIL EL ZAKHEM,GROCERY,5,35.8015,34.381,2
MOUNT LEBANON,METN,DEKWANEH,GRAND GOURMET MARKET,GROCERY,5,35.5539,33.8779,2
MOUNT LEBANON,METN,DEKWANEH,ON THE WAY,Petrol Station,5,35.5513,33.8876,2
MOUNT LEBANON,JBEIL,MONSEF,SALLOUM MARKET,GROCERY,5,35.634,34.183,2
MOUNT LEBANON,METN,FANAR,LAYLO MARKET,GROCERY,5,35.5643,33.8836,2
MOUNT LEBANON,JBEIL,AAMCHIT,KHOURY MARKET,GROCERY,5,35.6458,34.1393,2
MOUNT LEBANON,KESERWAN,SAHEL ALMA,BIENVENUE,Petrol Station,5,35.6421,33.99,2
MOUNT LEBANON,JBEIL,AAMCHIT,CASH LESS,GROCERY,5,35.6442,34.1399,2
NORTH,BATROUN,KFAR AABAIDA,GREEN MARKET,GROCERY,5,35.6566,34.2287,2
NORTH,KOURA,DAHR EL AIN,MARKET LEBA ABI ISSA,GROCERY,5,35.8462,34.3756,2
NORTH,KOURA,DAHR EL AIN,MARKET EL KHODOR,GROCERY,5,35.8484,34.3748,2
NORTH,KOURA,DAHR EL AIN,MM GHASSAN BITAR,GROCERY,5,35.8488,34.3716,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MM CHAHINE AND SONS,GROCERY,5,35.8348,34.4247,2
MOUNT LEBANON,METN,DEKWANEH,FADI MM,GROCERY,6,35.5546,33.8802,2
MOUNT LEBANON,METN,MANSOURIEH,SUPER C,GROCERY,6,35.5872,33.8601,2
MOUNT LEBANON,METN,DEKWANEH,KARNING MM,GROCERY,6,35.5568,33.8774,2
NORTH,BATROUN,RACHANA,L OLIVIER,GROCERY,5,35.673,34.2123,2
MOUNT LEBANON,JBEIL,AAMCHIT,MAFRAA AMSHIT,GROCERY,5,35.6429,34.1359,2
MOUNT LEBANON,JBEIL,AAMCHIT,SAOUD MARKET,GROCERY,5,35.6414,34.1372,2
MOUNT LEBANON,JBEIL,AAMCHIT,SAMIR STORES,GROCERY,5,35.6442,34.1395,2
MOUNT LEBANON,JBEIL,JDAYEL,SUPERMARKET BOULOS,GROCERY,5,35.6375,34.158,2
NORTH,BATROUN,KFAR AABAIDA,SETUP MARKET,GROCERY,5,35.6589,34.227,2
NORTH,BATROUN,KFAR AABAIDA,MICHEL FADOUS,GROCERY,5,35.656,34.2281,2
MOUNT LEBANON,METN,DEKWANEH,ABI CHAHLA,GROCERY,6,35.5541,33.8787,2
MOUNT LEBANON,KESERWAN,SARBA,GOLDEN MARKET,GROCERY,6,35.6264,33.9719,2
MOUNT LEBANON,JBEIL,AAMCHIT,ALBERT CHDID,GROCERY,5,35.6432,34.1358,2
MOUNT LEBANON,JBEIL,AAMCHIT,MINIMARKET SAMAHER,GROCERY,5,35.6461,34.1386,2
MOUNT LEBANON,JBEIL,JDAYEL,CHRISTIANE MARKET,GROCERY,5,35.6394,34.1606,2
NORTH,BATROUN,KFAR AABAIDA,FADOUS MARKET,GROCERY,5,35.6561,34.2282,2
MOUNT LEBANON,KESERWAN,ZOUK MOSBEH,MARCHE PUBLIC,Newelneh,5,35.6205,33.9573,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,ZOUEIN MARKET,GROCERY,6,35.5645,33.89,2
MOUNT LEBANON,METN,ZAKRIT,TANNOUS MM,GROCERY,5,35.6345,33.9303,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,GHANEM MARKET,GROCERY,5,35.6264,33.9659,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,CHOUCAIR MARKET,GROCERY,5,35.6161,33.9678,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,mm AKIKI,GROCERY,5,35.6282,33.962,2
MOUNT LEBANON,KESERWAN,GHOSTA,SAN ANTONIOS,GROCERY,6,35.614,33.9638,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,TOBACCO HOUSE,SPECIALIST,4,35.8325,34.4377,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,TITI MARKET,GROCERY,4,35.6169,33.9672,2
MOUNT LEBANON,JBEIL,BLAT,SAAD BI YUNES,GROCERY,5,35.6579,34.1155,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,CHAHINE MARKET,GROCERY,5,35.834,34.4369,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM YAHYA,GROCERY,4,35.8318,34.4239,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM OMAR AHMAD EL HAJ OMAR AND SONS,GROCERY,5,35.8326,34.438,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,EL AMIRA,GROCERY,5,35.8325,34.4377,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM EL MALIKA 2,GROCERY,5,35.8684,34.4545,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,COIN MARKET,GROCERY,5,35.6158,33.9684,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,CHAHWAN MARKET,GROCERY,5,35.6187,33.9714,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,AL ANIS MARKET,GROCERY,5,35.6167,33.9738,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,ELIAS BEST SHOP,GROCERY,5,35.6097,33.9698,2
MOUNT LEBANON,JBEIL,BLAT,ANGELA MARKET,GROCERY,5,35.669,34.1158,2
MOUNT LEBANON,JBEIL,BLAT,DAHER STORE,GROCERY,5,35.6725,34.11,2
MOUNT LEBANON,JBEIL,BLAT,MARCHÉ VIOLETTE,GROCERY,5,35.6567,34.1133,2
NORTH,GREATER TRIPOLI,MINA,CITY MARKET,GROCERY,5,35.8266,34.4446,2
NORTH,GREATER TRIPOLI,MINA,MM IBRAHIM KOBAYLI,GROCERY,5,35.8276,34.4437,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MOHAMAD AJAJ AND SONS STORES,GROCERY,5,35.8289,34.4403,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,DAIRY MARKET,GROCERY,5,35.8296,34.419,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MODCA CAFE,GROCERY,5,35.8306,34.4386,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MM SAHAR,GROCERY,5,35.8287,34.4429,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM EL BAHSAS,GROCERY,5,35.8298,34.4193,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MM HASSAN,GROCERY,5,35.8291,34.4435,2
MOUNT LEBANON,JBEIL,JBEIL CITY,RAYN MARKET,GROCERY,5,35.6689103,34.1168591,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,CAFE CHAMMA,GROCERY,5,35.8357,34.4406,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,Max Market SM,GROCERY,5,35.8303,34.4311,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,TONY FOR LOTO,GROCERY,5,35.8333,34.4391,2
GREATER AKAR,MINIEH DONIEH,MINIEH-HAI HAMDOUN,SM AL AMENEH,GROCERY,5,35.9218,34.4632,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,DRIVE THRU MARKET,Newelneh,5,35.6137,33.975,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,ST ELIE JOE,GROCERY,6,35.6174,33.9726,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM YOUNIS RAJAB,GROCERY,5,35.8716,34.4526,2
MOUNT LEBANON,JBEIL,MASTITA,BEST BUY MARKET,GROCERY,5,35.6637,34.1061,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,CITY MARKET EL JUNDI,GROCERY,5,35.8343,34.444,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MARKET NECHEBEH,GROCERY,6,35.8317,34.445,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,FAJER EL SABAH,GROCERY,6,35.8305,34.4445,2
GREATER AKAR,MINIEH DONIEH,BEDDAOUI,MM EL JEMAYZEH,GROCERY,5,35.8665,34.4538,2
MOUNT LEBANON,METN,ANTELIAS,ABOU DANY MARKET,GROCERY,5,35.5857,33.9126,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,ABOU CHARBEL MARKET,GROCERY,5,35.6118,33.9683,2
MOUNT LEBANON,METN,ANTELIAS,ATTALAH MARKET,GROCERY,5,35.5885,33.915,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,ST SIMON,GROCERY,5,35.6192,33.9661,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,ELIAS SALAME,GROCERY,5,35.6169,33.9684,2
MOUNT LEBANON,JBEIL,BLAT,DAHER MARKET,GROCERY,5,35.663,34.1104,2
MOUNT LEBANON,JBEIL,BLAT,RAHME STORES,GROCERY,5,35.6571,34.1171,2
MOUNT LEBANON,JBEIL,MASTITA,ROZY MARKET,GROCERY,5,35.6639,34.1061,2
MOUNT LEBANON,METN,ANTELIAS,COCO S MART,GROCERY,5,35.5925,33.9098,2
MOUNT LEBANON,JBEIL,BLAT,BOPRIX MARKET,GROCERY,5,35.6682,34.1134,2
MOUNT LEBANON,METN,ANTELIAS,KORDAHY ROESTERY,GROCERY,6,35.5879,33.9147,2
MOUNT LEBANON,METN,RABIEH,BEJJANI MARKET,GROCERY,5,35.5938,33.916,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,FREIHA MARKET,GROCERY,5,35.6182,33.9673,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,CHARCUTERIE MAKHLOUF,GROCERY,5,35.6235,33.9689,2
MOUNT LEBANON,METN,NACCACHE,AZAR MARKET,GROCERY,5,35.5951,33.9253,2
MOUNT LEBANON,KESERWAN,SARBA,MANSOUR CHICKEN,GROCERY,6,35.6222,33.9779,2
MOUNT LEBANON,METN,NACCACHE,Naccach Market,GROCERY,5,35.592,33.9254,2
MOUNT LEBANON,KESERWAN,SARBA,ZAKKA SUPERMARKET,GROCERY,4,35.6216,33.9777,2
NORTH,GREATER TRIPOLI,KOBBEH,KOUBEITRI MARKET,GROCERY,5,35.8729,34.4419,2
MOUNT LEBANON,KESERWAN,SARBA,ST GEORGES SUPERMARKET,GROCERY,5,35.6287,33.9757,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,OBEID MARKET,GROCERY,5,35.8327,34.4451,2
NORTH,GREATER TRIPOLI,KOBBEH,CEDRA MARKET,GROCERY,5,35.8654,34.4353,2
MOUNT LEBANON,METN,AWKAR,Medco Mema ( Aawkar),Petrol Station,5,35.5905,33.9369,2
MOUNT LEBANON,JBEIL,NAHER IBRAHIM,ESTERAHET NAHER IBRAHIM,Newelneh,5,35.6453,34.0653,2
NORTH,ZGHARTA,MAJDELAYA,EL MANTOUJET EL LOUBNANIYE,GROCERY,5,35.8781,34.4159,2
MOUNT LEBANON,METN,NACCACHE,STOP & SHOP,GROCERY,4,35.5894,33.9211,2
MOUNT LEBANON,KESERWAN,KASLIK,CANDY CRUSH,GROCERY,6,35.6196,33.9811,2
MOUNT LEBANON,KESERWAN,KASLIK,JOE MARKET,Petrol Station,5,35.6132,33.9776,2
MOUNT LEBANON,KESERWAN,KASLIK,MAXI MARKET,GROCERY,6,35.6205,33.9836,2
MOUNT LEBANON,JBEIL,HALAT,BREAK IN,Newelneh,5,35.6522,34.0915,2
MOUNT LEBANON,JBEIL,NAHER IBRAHIM,EM HORTOUS,Newelneh,5,35.648,34.0767,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,ACHRAF ABOU LCHARIF MARKET,GROCERY,4,35.836,34.438,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,FOODIES,GROCERY,5,35.8324,34.4412,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM SAMAD GROUP,GROCERY,5,35.8376,34.4382,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,BRAZILI CAFE,GROCERY,5,35.8397,34.4367,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,YOUSSEF EL MADANI TOBACCO,SPECIALIST,4,35.838,34.4393,2
MOUNT LEBANON,METN,AWKAR,DAN & DOR MARKET,Newelneh,4,35.5917,33.9324,2
MOUNT LEBANON,METN,JAL EL DIB,FRIENDS AM-PM,Newelneh,5,35.5866,33.9077,2
MOUNT LEBANON,JBEIL,HALAT,EL HASHEM STORE,GROCERY,5,35.651,34.0871,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM YAGHI,GROCERY,6,35.8376,34.44,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MM MEREHBI,GROCERY,5,35.8312,34.4412,2
NORTH,ZGHARTA,MAJDELAYA,MARKET EL MOKHTAR,GROCERY,5,35.8756,34.4132,2
MOUNT LEBANON,KESERWAN,KASLIK,mm SABBAGH,GROCERY,6,35.6171,33.9819,2
MOUNT LEBANON,KESERWAN,KASLIK,mm KASLIK,GROCERY,6,35.6175,33.9811,2
MOUNT LEBANON,KESERWAN,SARBA,ASSI MARKET,GROCERY,5,35.6286,33.9751,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MARKET EL MASRI,GROCERY,5,35.8375,34.4355,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MM EL ZOHBI,GROCERY,5,35.8358,34.4395,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SHOP & SAVE MARKET,GROCERY,5,35.8295,34.4395,2
MOUNT LEBANON,JBEIL,NAHER IBRAHIM,KHOURY MARKET,GROCERY,5,35.6462,34.072,2
MOUNT LEBANON,JBEIL,NAHER IBRAHIM,ASSAF MARKET,GROCERY,5,35.65,34.0746,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,HMEDEH EST FOR TRADING,GROCERY,5,35.8305,34.4375,2
NORTH,ZGHARTA,MAJDELAYA,SM ABOU ARIDA,GROCERY,5,35.8639,34.4318,2
MOUNT LEBANON,JBEIL,JBEIL CITY,BERO MARKET,GROCERY,5,35.6443,34.1265,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MINI CARFOUD,GROCERY,5,35.8373,34.4401,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,MM KOTOB,GROCERY,6,35.8418,34.4393,2
NORTH,GREATER TRIPOLI,TRIPOLI CITY,SM El Cheikh,GROCERY,5,35.8367,34.4414,2
MOUNT LEBANON,METN,JAL EL DIB,SIMON,GROCERY,6,35.5853,33.9083,2
MOUNT LEBANON,METN,ANTELIAS,MAISON M,GROCERY,4,35.5905,33.92,2
NORTH,ZGHARTA,MAJDELAYA,YAYA MARKET,Petrol Station,5,35.8789,34.4146,2
MOUNT LEBANON,KESERWAN,SARBA,CHARBEL BEAINY,GROCERY,6,35.6235,33.9814,2
MOUNT LEBANON,KESERWAN,SARBA,NAKHOUL NEW MARKET,GROCERY,6,35.6222,33.9761,2
MOUNT LEBANON,JBEIL,BLAT,BYBLOS MARKET,GROCERY,5,35.6572,34.1177,2
MOUNT LEBANON,JBEIL,HALAT,CHAR'S MARKET,GROCERY,5,35.6564,34.0925,2
MOUNT LEBANON,JBEIL,HALAT,MINIMARKET KARAM,GROCERY,5,35.655,34.092,2
MOUNT LEBANON,METN,NACCACHE,SUNRISE,GROCERY,5,35.5962,33.9261,2
MOUNT LEBANON,KESERWAN,KASLIK,mm HOKAYEM,GROCERY,6,35.6205,33.9814,2
MOUNT LEBANON,KESERWAN,KASLIK,SIMO MARKET,GROCERY,5,35.6195,33.9809,2
MOUNT LEBANON,KESERWAN,SARBA,YA WELCOME MARKET,GROCERY,6,35.6245,33.9751,2
MOUNT LEBANON,KESERWAN,ZOUK MICHAEL,ANDAR MARKET,GROCERY,5,35.6124,33.9773,2
MOUNT LEBANON,KESERWAN,SARBA,JOHNNY MARKET,GROCERY,6,35.628,33.9735,2
MOUNT LEBANON,KESERWAN,SARBA,ZAKKA MARKET,GROCERY,5,35.6209,33.9739,2
MOUNT LEBANON,METN,MAZRAAT YACHOUA,A.N.M MALLAH,GROCERY,5,35.6377,33.9324,2
MOUNT LEBANON,METN,MTAILEB,CAFFEINE,Newelneh,4,35.611,33.9241,2
MOUNT LEBANON,METN,MTAILEB,PINE MARKET,GROCERY,6,35.6208,33.9223,2
MOUNT LEBANON,JBEIL,GHERFINE,Ibrahim Ibrahim,GROCERY,5,35.6736,34.1554,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Hage Super Store,Super Market,4,35.651,34.1205,2
MOUNT LEBANON,KESERWAN,JOUNIEH,ROAD RUNNER JOHNSONS,Newelneh,4,35.6368,33.9827,2
NORTH,AKAR,HALBA,MESELMANI SM,GROCERY,5,36.0800348,34.5422178,2
MOUNT LEBANON,KESERWAN,JOUNIEH CITY,RACHAD ATALLAH,Newelneh,4,35.6388,33.9842,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,GREEN HOUSE,GROCERY,5,35.6545,34.0105,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,ETS LOUIS ZEINNY AND SONS,GROCERY,6,35.6666,34.0179,2
NORTH,AKAR,HALBA,FOOD LAND,GROCERY,5,36.0702,34.5411,2
NORTH,AKAR,HALBA,Fattah COOP,GROCERY,5,36.0821,34.5608,2
MOUNT LEBANON,KESERWAN,HARET SAKHER,TRIM SUPERMARKET,Super Market,4,35.6459,33.9968,2
MOUNT LEBANON,KESERWAN,SAHEL ALMA,JAMIL MARKET,GROCERY,5,35.6513,34.0036,2
NORTH,AKAR,HALBA,OBEID MARKET,GROCERY,5,36.0791,34.5407,2
MOUNT LEBANON,METN,BEIT EL KEKKO,Tmy Market,GROCERY,5,35.6314,33.9295,2
MOUNT LEBANON,METN,AWKAR,JOE MARKET,GROCERY,5,35.6308675,33.9258387,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,SUPERMARKET KFARHBAB,GROCERY,5,35.6559,34.0135,2
MOUNT LEBANON,KESERWAN,JDEIDIT GHAZIR,KEYROUZ SUPERMARKET,GROCERY,6,35.6923,34.0217,2
MOUNT LEBANON,JBEIL,MONSEF,MRS CAFE,KIOSK,5,35.6393,34.201,2
NORTH,GREATER TRIPOLI,KOBBEH,KASSIR SONS,GROCERY,5,35.8518,34.4334,2
NORTH,GREATER TRIPOLI,KOBBEH,SM EL HAJJ ABOU BILAL EL DANNOUN,GROCERY,5,35.8499,34.4329,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Toufik Qoshaya,GROCERY,5,35.6473,34.1237,2
NORTH,GREATER TRIPOLI,KOBBEH,MM OMAR EL DANNOUN,GROCERY,5,35.8477,34.4339,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Najem Stores,GROCERY,5,35.6475,34.1237,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Kaaka Al Zahabiya9,GROCERY,5,35.6474,34.1231,2
NORTH,GREATER TRIPOLI,KOBBEH,SM YAGHI,GROCERY,5,35.8612,34.4327,2
MOUNT LEBANON,KESERWAN,SAHEL ALMA,L EXOTIC MARKET,GROCERY,5,35.6485,33.9895,2
MOUNT LEBANON,KESERWAN,SAHEL ALMA,ST NOHRA MARKET,GROCERY,5,35.6548,33.9935,2
NORTH,GREATER TRIPOLI,JABAL MUHSEN,EL HATWIK FOR GENERAL TRADING,GROCERY,5,35.8542,34.442,2
NORTH,GREATER TRIPOLI,JABAL MUHSEN,SM ALI HATWIK,GROCERY,5,35.8573,34.4411,2
NORTH,GREATER TRIPOLI,KOBBEH,MM ABDEL NASSER EL DANNOUN,GROCERY,5,35.8498,34.4328,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Charcutrie Salameh,GROCERY,5,35.6531,34.1224,2
MOUNT LEBANON,JBEIL,KFAR MASEHOUN,Zakhiya Khoury,GROCERY,5,35.6714,34.1457,2
NORTH,GREATER TRIPOLI,JABAL MUHSEN,EL CHARIF STORES,GROCERY,5,35.8569,34.4448,2
MOUNT LEBANON,METN,QORNET CHEHWAN,MINIYARA MARKET,GROCERY,5,35.6291,33.9205,2
MOUNT LEBANON,KESERWAN,GHAZIR & KFARHBAB,SALAME MARKET,GROCERY,6,35.6498,34.0109,2
MOUNT LEBANON,KESERWAN,SAHEL ALMA,KAYROUZ MARKET,GROCERY,5,35.6564,34.0001,2
MOUNT LEBANON,JBEIL,AAMCHIT,Jaaraa Market,GROCERY,5,35.6542,34.1471,2
MOUNT LEBANON,JBEIL,AAMCHIT,Smart Shop,GROCERY,5,35.6439,34.1438,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Boufrem Stores,GROCERY,5,35.6531,34.1242,2
MOUNT LEBANON,JBEIL,JBEIL CITY,Green Market,GROCERY,5,35.6562,34.1268,2
NORTH,GREATER TRIPOLI,JABAL MUHSEN,SM KHANAT,GROCERY,4,35.8547,34.4424,2
NORTH,GREATER TRIPOLI,KOBBEH,SM BILAL YEGHI,GROCERY,6,35.8513,34.4333,2
MOUNT LEBANON,METN,JDEIDEH/BOUCHRIEH,BOUTROS MARKET,GROCERY,5,35.5607,33.8889,2
MOUNT LEBANON,JBEIL,GHERFINE,Mike Market,GROCERY,5,35.688,34.1585,2
MOUNT LEBANON,KESERWAN,HARET SAKHER,mm NAKAD,GROCERY,5,35.6428,33.9854,2
MOUNT LEBANON,KESERWAN,HARET SAKHER,FAKHRY BOUCHERIE,Newelneh,5,35.6446,33.9887,2
MOUNT LEBANON,KESERWAN,HARET SAKHER,VIERRA MARKET,GROCERY,5,35.6455,33.9906,2
NORTH,GREATER TRIPOLI,JABAL MUHSEN,SM EL MAZLOUM,GROCERY,5,35.8579,34.4464,2
NORTH,GREATER TRIPOLI,JABAL MUHSEN,EL OMRAN STORES,GROCERY,5,35.8591,34.44,2
MOUNT LEBANON,JBEIL,AAMCHIT,Ghadi Market,GROCERY,5,35.6548,34.143,2
MOUNT LEBANON,JBEIL,EDDEH,Edde Market,GROCERY,5,35.6648,34.1406,2
